Provider	Pubish.with.IWGSC..Y.N.	run_accession	scientific_name	secondary_study_accession	High level variety	High level tissue	High level age	High level stress-disease	Variety	Tissue	Age	Stress-disease	Comments	DOI	Intermediate	Intermediate stress
M. Davey BCS	Y	Sample_18A	Triticum aestivum	Development	Azhurnaya	roots	seedling	none	Azhurnaya	roots	seedling stage	none			roots	NA
M. Davey BCS	Y	Sample_19A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	shoot apical meristem	seedling stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_20A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	shoot apical meristem	seedling stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_21A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	seedling	none	Azhurnaya	shoot apical meristem	seedling stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_22B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf blade	three leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_23A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf blade	three leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_24A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf blade	three leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_25A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf sheath	three leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_26A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf sheath	three leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_27A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	third leaf sheath	three leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_28A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_29A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_30A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_15	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	three leaf stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_32R2	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	three leaf stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_33A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	three leaf stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_16	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	axillary roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_35R1	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	axillary roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_36A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	axillary roots	three leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_37A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf sheath	fifth leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_38A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf sheath	fifth leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_39A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf sheath	fifth leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_40A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf blade	fifth leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_41A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf blade	fifth leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_42A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	fifth leaf blade	fifth leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_43A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf sheath	tillering stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_44A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf sheath	tillering stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_45A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf sheath	tillering stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_46A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf blade	tillering stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_d11	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf blade	tillering stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_d12	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	first leaf blade	tillering stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_49A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot axis	tillering stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_50A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot axis	tillering stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_51A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot axis	tillering stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_52A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot apical meristem	tillering stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_53A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot apical meristem	tillering stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_54A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	vegetative	none	Azhurnaya	shoot apical meristem	tillering stage	none			shoot apical meristem	NA
M. Davey BCS	Y	Sample_55B	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	tillering stage	none			roots	NA
M. Davey BCS	Y	Sample_56A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	tillering stage	none			roots	NA
M. Davey BCS	Y	Sample_57A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	roots	tillering stage	none			roots	NA
M. Davey BCS	Y	Sample_58A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	tillering stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_59A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	tillering stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_60A	Triticum aestivum	Development	Azhurnaya	roots	vegetative	none	Azhurnaya	root apical meristem	tillering stage	none			root apical meristem	NA
M. Davey BCS	Y	Sample_61A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_62A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_63A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_64A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf sheath	Flag leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_65A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf sheath	Flag leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_66A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf sheath	Flag leaf stage	none			leaf sheaths excl flag	NA
M. Davey BCS	Y	Sample_67A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_68A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_69A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_70A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Flag leaf stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_71A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Flag leaf stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_72A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Flag leaf stage	none			shoot axis	NA
M. Davey BCS	Y	Sample_73A	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	Flag leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_74A	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	Flag leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_76A	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	Flag leaf stage	none			roots	NA
M. Davey BCS	Y	Sample_75A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_77A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_78A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_79A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (-0.25h) 21:45	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_80A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (-0.25h) 21:45	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_81A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (-0.25h) 21:45	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_82A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (+0.25h) 07:15	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_83B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (+0.25h) 07:15	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_84A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (+0.25h) 07:15	Flag leaf stage	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_85B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (+0.25h) 22:15	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_86A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (+0.25h) 22:15	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_87A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (+0.25h) 22:15	Flag leaf stage	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_88A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	leaf ligule	Full boot	none			leaf ligule	NA
M. Davey BCS	Y	Sample_89B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	leaf ligule	Full boot	none			leaf ligule	NA
M. Davey BCS	Y	Sample_90A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	leaf ligule	Full boot	none			leaf ligule	NA
M. Davey BCS	Y	Sample_91A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Full boot	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_92A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Full boot	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_93A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Full boot	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_94B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Full boot	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_95A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Full boot	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_96A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Full boot	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_97A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Full boot	none			shoot axis	NA
M. Davey BCS	Y	Sample_98A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Full boot	none			shoot axis	NA
M. Davey BCS	Y	Sample_99A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	shoot axis	Full boot	none			shoot axis	NA
M. Davey BCS	Y	Sample_100A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	Full boot	none			spike	NA
M. Davey BCS	Y	Sample_101A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	Full boot	none			spike	NA
M. Davey BCS	Y	Sample_102A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	Full boot	none			spike	NA
M. Davey BCS	Y	Sample_103A	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	30% spike	none			roots	NA
M. Davey BCS	Y	Sample_104B	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	30% spike	none			roots	NA
M. Davey BCS	Y	Sample_105B	Triticum aestivum	Development	Azhurnaya	roots	reproductive	none	Azhurnaya	roots	30% spike	none			roots	NA
M. Davey BCS	Y	Sample_106A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	30% spike	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_107B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	30% spike	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_108A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	30% spike	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_109A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	30% spike	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_110A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	30% spike	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_111B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	30% spike	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_112B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	30% spike	none			internode	NA
M. Davey BCS	Y	Sample_113B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	30% spike	none			internode	NA
M. Davey BCS	Y	Sample_114B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	30% spike	none			internode	NA
M. Davey BCS	Y	Sample_115A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	30% spike	none			peduncle	NA
M. Davey BCS	Y	Sample_116A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	30% spike	none			peduncle	NA
M. Davey BCS	Y	Sample_117A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	30% spike	none			peduncle	NA
M. Davey BCS	Y	Sample_118A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	30% spike	none			spike	NA
M. Davey BCS	Y	Sample_119B	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	30% spike	none			spike	NA
M. Davey BCS	Y	Sample_120A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spike	30% spike	none			spike	NA
M. Davey BCS	Y	Sample_121A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spikelets	30% spike	none			spikelets	NA
M. Davey BCS	Y	Sample_122A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spikelets	30% spike	none			spikelets	NA
M. Davey BCS	Y	Sample_123A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	spikelets	30% spike	none			spikelets	NA
M. Davey BCS	Y	Sample_124A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Ear emergence	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_125A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Ear emergence	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_126A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf sheath	Ear emergence	none			flag leaf sheath	NA
M. Davey BCS	Y	Sample_127A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Ear emergence	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_128A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Ear emergence	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_129A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade	Ear emergence	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_130A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Ear emergence	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_131A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Ear emergence	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_132A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade	Ear emergence	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_133A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	Ear emergence	none			peduncle	NA
M. Davey BCS	Y	Sample_134A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	Ear emergence	none			peduncle	NA
M. Davey BCS	Y	Sample_135A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	peduncle	Ear emergence	none			peduncle	NA
M. Davey BCS	Y	Sample_136A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	Ear emergence	none			internode	NA
M. Davey BCS	Y	Sample_137B	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	Ear emergence	none			internode	NA
M. Davey BCS	Y	Sample_138A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	Internode #2	Ear emergence	none			internode	NA
M. Davey BCS	Y	Sample_139A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	awns	Ear emergence	none			awns	NA
M. Davey BCS	Y	Sample_140A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	awns	Ear emergence	none			awns	NA
M. Davey BCS	Y	Sample_141A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	awns	Ear emergence	none			awns	NA
M. Davey BCS	Y	Sample_142A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	glumes	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_143A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	glumes	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_144B	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	glumes	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_157A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	lemma	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_158A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	lemma	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_159B	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	lemma	Ear emergence	none			glumes	NA
M. Davey BCS	Y	Sample_160A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	anther	anthesis	none			anther	NA
M. Davey BCS	Y	Sample_161A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	anther	anthesis	none			anther	NA
M. Davey BCS	Y	Sample_162A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	anther	anthesis	none			anther	NA
M. Davey BCS	Y	Sample_163A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	stigma & ovary	anthesis	none			stigma & ovary	NA
M. Davey BCS	Y	Sample_164A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	stigma & ovary	anthesis	none			stigma & ovary	NA
M. Davey BCS	Y	Sample_165A	Triticum aestivum	Development	Azhurnaya	spike	reproductive	none	Azhurnaya	stigma & ovary	anthesis	none			stigma & ovary	NA
M. Davey BCS	Y	Sample_166A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	anthesis	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_167A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	anthesis	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_168A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	flag leaf blade night (-0.25h) 06:45	anthesis	none			flag leaf blade	NA
M. Davey BCS	Y	Sample_169A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (-0.25h) 21:45	anthesis	none			leaf blades excl flag	NA
M. Davey BCS	Y	Sample_170A	Triticum aestivum	Development	Azhurnaya	leaves/shoots	reproductive	none	Azhurnaya	fifth leaf blade night (-0.25h) 21:45	anthesis	none			leaf blades excl flag	NA
